core,layer,layercode,x,y
longlake_pc1,1,longlake_pc1/1,6.2027,5.623
longlake_pc1,1,longlake_pc1/1,6.1254,6.28
longlake_pc1,1,longlake_pc1/1,6.1834,7.1302
longlake_pc1,1,longlake_pc1/1,6.4926,8.2317
longlake_pc1,1,longlake_pc1/1,7.1689,8.8114
menounos_cheak1,1,menounos_cheak1/1,0.4881,1.0594
menounos_cheak1,1,menounos_cheak1/1,0.5952,0.8452
menounos_cheak1,1,menounos_cheak1/1,0.8214,0.619
menounos_cheak1,1,menounos_cheak1/1,1.3094,0.4643
menounos_cheak1,1,menounos_cheak1/1,1.738,0.4762
menounos_cheak1,1,menounos_cheak1/1,2.3451,0.5476
menounos_cheak1,1,menounos_cheak1/1,3.0831,0.8095
menounos_cheak1,1,menounos_cheak1/1,3.464,1.0714
menounos_cheak1,1,menounos_cheak1/1,3.5355,1.2499
menounos_cheak1,2,menounos_cheak1/2,0.4166,1.4404
menounos_cheak1,2,menounos_cheak1/2,0.5357,1.238
menounos_cheak1,2,menounos_cheak1/2,0.8095,1.1071
menounos_cheak1,2,menounos_cheak1/2,1.238,1.0714
menounos_cheak1,2,menounos_cheak1/2,1.5118,1.0714
menounos_cheak1,2,menounos_cheak1/2,1.8927,1.0594
menounos_cheak1,2,menounos_cheak1/2,2.2736,1.0952
menounos_cheak1,2,menounos_cheak1/2,2.7022,1.2142
menounos_cheak1,2,menounos_cheak1/2,3.0593,1.3213
menounos_cheak1,2,menounos_cheak1/2,3.3212,1.488
menounos_cheak1,2,menounos_cheak1/2,3.4164,1.607
menounos_cheak1,2,menounos_cheak1/2,3.4759,1.7142
menounos_cheak1,3,menounos_cheak1/3,0.4166,1.8213
menounos_cheak1,3,menounos_cheak1/3,0.5595,1.6546
menounos_cheak1,3,menounos_cheak1/3,0.7261,1.5832
menounos_cheak1,3,menounos_cheak1/3,0.9999,1.5356
menounos_cheak1,3,menounos_cheak1/3,1.3094,1.5475
menounos_cheak1,3,menounos_cheak1/3,1.8213,1.607
menounos_cheak1,3,menounos_cheak1/3,2.3332,1.7261
menounos_cheak1,3,menounos_cheak1/3,2.7498,1.8094
menounos_cheak1,3,menounos_cheak1/3,3.1188,1.9165
menounos_cheak1,3,menounos_cheak1/3,3.2974,1.988
menounos_cheak1,3,menounos_cheak1/3,3.3688,2.1189
menounos_cheak1,3,menounos_cheak1/3,3.4402,2.2736
menounos_cheak1,4,menounos_cheak1/4,0.4166,2.7974
menounos_cheak1,4,menounos_cheak1/4,0.5357,2.5593
menounos_cheak1,4,menounos_cheak1/4,0.8214,2.4284
menounos_cheak1,4,menounos_cheak1/4,1.1071,2.4879
menounos_cheak1,4,menounos_cheak1/4,1.3094,2.5355
menounos_cheak1,4,menounos_cheak1/4,1.6904,2.5712
menounos_cheak1,4,menounos_cheak1/4,2.1903,2.6665
menounos_cheak1,4,menounos_cheak1/4,2.7022,2.726
menounos_cheak1,4,menounos_cheak1/4,3.1545,2.8212
menounos_cheak1,4,menounos_cheak1/4,3.345,2.9522
menounos_cheak1,4,menounos_cheak1/4,3.4521,3.0831
menounos_cheak1,5,menounos_cheak1/5,0.4166,3.8212
menounos_cheak1,5,menounos_cheak1/5,0.5476,3.6307
menounos_cheak1,5,menounos_cheak1/5,0.8333,3.5236
menounos_cheak1,5,menounos_cheak1/5,1.2023,3.4998
menounos_cheak1,5,menounos_cheak1/5,1.6665,3.4759
menounos_cheak1,5,menounos_cheak1/5,1.988,3.5117
menounos_cheak1,5,menounos_cheak1/5,2.3332,3.5117
menounos_cheak1,5,menounos_cheak1/5,2.7498,3.5831
menounos_cheak1,5,menounos_cheak1/5,3.2141,3.6902
menounos_cheak1,5,menounos_cheak1/5,3.3331,3.7854
menounos_cheak1,5,menounos_cheak1/5,3.3926,3.9283
menounos_cheak1,6,menounos_cheak1/6,0.4166,4.8806
menounos_cheak1,6,menounos_cheak1/6,0.6785,4.6901
menounos_cheak1,6,menounos_cheak1/6,1.0714,4.5354
menounos_cheak1,6,menounos_cheak1/6,1.5118,4.4521
menounos_cheak1,6,menounos_cheak1/6,1.9999,4.464
menounos_cheak1,6,menounos_cheak1/6,2.4165,4.4997
menounos_cheak1,6,menounos_cheak1/6,2.9403,4.5473
menounos_cheak1,6,menounos_cheak1/6,3.2022,4.6425
menounos_cheak1,6,menounos_cheak1/6,3.2974,4.702
menounos_cheak1,6,menounos_cheak1/6,3.3807,4.8449
