"x","y"
0.4166,1.8213
0.5595,1.6546
0.7261,1.5832
0.9999,1.5356
1.3094,1.5475
1.8213,1.607
2.3332,1.7261
2.7498,1.8094
3.1188,1.9165
3.2974,1.988
3.3688,2.1189
3.4402,2.2736
