"x","y"
0.2564,5.6834
0.2564,5.0852
0.4487,4.2519
0.5983,3.5041
1.0897,2.9272
1.8161,2.7135
2.8417,2.4999
3.9314,2.4999
5.1279,2.7776
5.9826,3.269
6.5167,3.8673
6.6877,4.6365
6.8159,5.2347
6.8586,5.5552
