"x","y"
53.9856,378.9112
63.986,362.9124
82.9794,344.9172
102.9756,334.9214
121.969,331.9222
143.9662,334.9214
161.9614,344.9172
181.9576,358.915
197.9518,372.9128
208.9504,384.9096
