"x","y"
0.4166,1.4404
0.5357,1.238
0.8095,1.1071
1.238,1.0714
1.5118,1.0714
1.8927,1.0594
2.2736,1.0952
2.7022,1.2142
3.0593,1.3213
3.3212,1.488
3.4164,1.607
3.4759,1.7142
