"x","y"
0.4363,3.2518
0.7896,2.9505
1.2051,2.6908
1.7869,2.3375
2.3375,2.109
2.8674,2.0674
3.5115,2.1401
4.3322,2.296
4.9452,2.4934
5.527,2.9609
5.7244,3.1998
