"x","y"
1.1954,3.1949
1.4779,2.9124
1.8691,2.6081
2.2603,2.4777
2.5863,2.4777
3.0862,2.5646
3.4992,2.8254
3.8252,3.108
4.1077,3.3688
4.3903,3.6513
4.5424,3.9339
